institution,latitude,longitude,is_elite,number_of_authors
"""Dunarea de Jos"" University of Galati",9.9684639,8.88179111,0,5
's Heeren Loo,48.77353,9.17742,0,1
1 Decembrie 1918 University,44.41055298,26.17379761,0,2
117th Hospital of People's Liberation Army,-4.41886234,15.32714844,1,1
21c Consultancy (United Kingdom),53.9438324,-2.55056405,0,1
22q11 Ireland,52.86519623,-7.97945976,0,1
22q11 Ireland,52.86519623,-7.97945976,1,1
23andMe (United States),39.50357056,-99.01834106,1,2
4D Pharma (United Kingdom),44.801043,10.3279,0,1
A*STAR Graduate Academy,48.367977,10.897016,0,2
A*STAR Graduate Academy,48.367977,10.897016,1,2
A*STAR-NUS Clinical Imaging Research Centre,1.29583895,103.77718353,0,3
A. Alfred Taubman Health Care Center,42.28277969,-83.73471832,0,1
AB Agri,39.71848679,43.05086517,0,1
ABB (Germany),51.09198761,10.38080788,1,1
ABB (Poland),52.21593475,19.1344223,0,3
ABB (Sweden),59.67497253,14.52085876,0,3
ABB (Sweden),59.67497253,14.52085876,1,1
ABB (Switzerland),46.80123901,8.23096466,0,2
ABB (Switzerland),46.80123901,8.23096466,1,2
AC Camargo Hospital,27.69356155,-105.17440033,1,1
AC2T Research (Austria),47.58707047,14.14098835,0,1
ADVA Optical Networking (Germany),51.09198761,10.38080788,0,1
AECOM (China),36.55937195,103.7533493,0,1
AGH University of Krakow,50.06194687,19.93685722,0,18
AGH University of Krakow,50.06194687,19.93685722,1,2
AIAS Bologna,44.49419022,11.34651852,0,1
AIDS Vancouver,49.26356506,-123.13857269,0,2
AIDS Vancouver,49.26356506,-123.13857269,1,1
ANDRO (United States),39.50357056,-99.01834106,0,3
ANT Foundation Italy Onlus,43.52555084,12.1600008,0,1
AO Foundation,-11.87757683,17.56912422,0,1
APEC Climate Center,53.43283463,14.54818726,0,1
ARC Centre of Excellence for Climate System Science,34.15884399,-85.66727448,1,2
ARC Centre of Excellence for Coral Reef Studies,34.15884399,-85.66727448,0,4
ARC Centre of Excellence for Coral Reef Studies,34.15884399,-85.66727448,1,5
ARC Centre of Excellence for Core to Crust Fluid Systems,34.15884399,-85.66727448,0,1
ARC Centre of Excellence for Electromaterials Science,40.945847,40.266544,0,3
ARC Centre of Excellence for Electromaterials Science,40.945847,40.266544,1,1
ARC Centre of Excellence for Enabling Eco-Efficient Beneficiation of Minerals,34.15884399,-85.66727448,1,1
ARC Centre of Excellence for Engineered Quantum Systems,40.945847,40.266544,0,5
ARC Centre of Excellence for Engineered Quantum Systems,40.945847,40.266544,1,1
ARC Centre of Excellence for Environmental Decisions,34.15884399,-85.66727448,0,1
ARC Centre of Excellence for Environmental Decisions,34.15884399,-85.66727448,1,1
ARC Centre of Excellence for Mathematical and Statistical Frontiers,46.51839066,6.64528418,0,1
